scenario_id,return_period,duration_min,overflow_flag,total_inflow_m3,max_possible_drain_m3,inflow_minus_maxdrain_m3,reservoir_capacity_m3,peak_vol_m3,max_level_m
30yr_0540m_h830,30,540,0,80525.99049800381,381440,-300914.0095019962,16000.0,3006.171008279351,6.505095210657968
30yr_0540m_h836,30,540,0,80622.01091508557,381440,-300817.98908491444,16000.0,3085.0466083013844,6.532094193550596
30yr_0540m_h839,30,540,0,80981.46274791808,381440,-300458.5372520819,16000.0,3119.880940970799,6.544017926004674
50yr_0540m_h760,50,540,0,85436.43722327912,381440,-296003.56277672085,16000.0,3061.2224883158356,6.52393923805432
50yr_0540m_h771,50,540,0,86565.95631425342,381440,-294874.0436857466,16000.0,3095.0284146821123,6.535510948790943
50yr_0540m_h775,50,540,0,88049.98029709543,381440,-293390.01970290457,16000.0,3046.0245693158095,6.51873701639172
50yr_0540m_h803,50,540,0,87484.61106866138,381440,-293955.3889313386,16000.0,3061.232064110073,6.523942515832299
50yr_0540m_h861,50,540,0,89326.32545156557,381440,-292113.67454843444,16000.0,3030.3382783245174,6.513367625832353
80yr_0540m_h762,80,540,0,93778.47619585754,381440,-287661.5238041425,16000.0,3047.995214655391,6.519411564918715
80yr_0540m_h808,80,540,0,94527.41640352723,381440,-286912.58359647274,16000.0,3116.100871611568,6.542724014732566
80yr_0540m_h833,80,540,0,95453.18355591512,381440,-285986.81644408486,16000.0,3147.516596831925,6.553477563707749
80yr_0540m_h851,80,540,0,96246.83827548726,381440,-285193.16172451276,16000.0,3176.3486768248445,6.563346735343467
