scenario_id,return_period,duration_min,n_steps,max_level_m,overflow_flag,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,total_inflow_m3,total_outflow_m3,peak_inflow_per_step_m3,max_possible_drain_m3,reservoir_capacity_m3,inflow_minus_maxdrain_m3,peak_vol_m3,wall_s
10yr_0360m_h707,10,360,209,6.510205853482675,0,12,249,8,0,422.68575219788215,54339.93472853311,52520.0,698.6605537150461,266240,16000.0,-211900.06527146688,3021.101386245814,0.11521996790543199
10yr_0360m_h717,10,360,209,6.531943174496009,0,15,237,17,0,422.4294804722055,54562.81016157567,52980.0,785.7655362072821,266240,16000.0,-211677.18983842432,3084.6054169204845,0.1142709560226649
10yr_0360m_h719,10,360,209,6.51186924614383,0,17,233,21,0,422.041351711815,54948.852165427175,53540.0,791.0777622428411,266240,16000.0,-211291.14783457282,3025.9608690916175,0.11630761995911598
10yr_0360m_h735,10,360,209,6.525392051837908,0,10,247,11,0,423.4187404683754,54009.55798882182,53140.0,777.9845918011569,266240,16000.0,-212230.44201117818,3065.4667800121747,0.11461172881536186
20yr_0360m_h634,20,360,209,6.5060472070856,0,14,291,8,0,423.42286562930235,61872.115449269804,60920.0,697.3308647402297,266240,16000.0,-204367.8845507302,3008.952197842931,0.11623210203833878
20yr_0360m_h656,20,360,209,6.513648074266069,0,9,294,12,0,425.8178626265891,63454.41645131832,62680.0,778.5786775287927,266240,16000.0,-202785.5835486817,3031.157588391588,0.1163672290276736
20yr_0360m_h665,20,360,209,6.514478513160909,0,16,276,21,0,423.76761075988577,63364.06560290605,62340.0,777.3615474382957,266240,16000.0,-202875.93439709395,3033.583656305798,0.1167949428781867
20yr_0360m_h688,20,360,209,6.533387412937998,0,16,267,24,0,423.71782690305344,62663.54577345914,61560.0,806.7804113239168,266240,16000.0,-203576.45422654087,3088.8246563688667,0.13024299684911966
20yr_0360m_h726,20,360,209,6.503197016390129,0,10,266,28,0,424.59848880238525,64668.35266553799,62720.0,924.7702179988064,266240,16000.0,-201571.647334462,3000.6255693111652,0.1186444100458175
30yr_0360m_h630,30,360,209,6.543818891588509,0,16,299,19,0,424.170813144681,67413.29464866171,66260.0,776.3494580802651,266240,16000.0,-198826.70535133829,3119.2994761407144,0.11798400012776256
