condition,scenario,n_decisions,swmm_time_s,inference_time_s,total_time_s,ms_per_decision_inference_only,margin_x
GA-only,10yr_0240m_h515,148,,,3.0721040992066264,20.7574601297745,5781.054100538629
GA-only,10yr_0360m_h672,208,,,4.431451874086633,21.305057086954967,5632.465546101526
GA-only,10yr_0540m_h800,298,,,6.250586461974308,20.97512235561848,5721.063170239687
GA-only,10yr_0720m_h912,388,,,7.978415057994425,20.562925407202126,5835.745528599264
GA-only,10yr_1080m_h1061,568,,,11.663601720007136,20.5345100704351,5843.820942812362
GA-only,10yr_1440m_h1176,748,,,15.23448323784396,20.36695620032615,5891.896600537608
GA-only,100yr_0060m_h140,58,,,1.3732184621039778,23.676180381103062,5068.385105554313
GA-only,100yr_0120m_h322,88,,,2.0901717538945377,23.751951748801567,5052.21639337722
GA-only,100yr_0180m_h465,118,,,2.7269093520008028,23.109401288142397,5192.691861799677
GA-only,100yr_0240m_h602,148,,,3.3495377120561898,22.632011567947227,5302.22422517453
GA-only,100yr_0360m_h670,208,,,4.651468723779544,22.36283040278627,5366.047044968366
GA-only,100yr_0540m_h862,298,,,6.48806620715186,21.77203425218745,5511.657689402336
GA-only,100yr_0720m_h964,388,,,8.35759781789966,21.54020056159706,5570.978768598003
GA-only,100yr_1080m_h1077,568,,,11.770742743974552,20.723138633758012,5790.628635978909
GA-only,100yr_1440m_h1202,748,,,14.973244320834056,20.017706311275475,5994.6928051595505
GA-only,20yr_0060m_h225,58,,,1.2569986719172448,21.672390895124913,5536.998690208811
GA-only,20yr_0120m_h366,88,,,1.8903984769713134,21.481800874674015,5586.123840365455
GA-only,20yr_0180m_h435,118,,,2.507172840181738,21.24722745916727,5647.795705609822
GA-only,20yr_0240m_h588,148,,,3.0935734428931028,20.902523262791235,5740.93368974324
GA-only,20yr_0360m_h664,208,,,4.302235590992495,20.68382495669469,5801.634864501203
GA-only,20yr_0540m_h775,298,,,6.070855309953913,20.371997684409106,5890.4385254194885
GA-only,20yr_0720m_h983,388,,,8.082898785127327,20.832213363730226,5760.309665843051
GA-only,20yr_1080m_h1084,568,,,11.48668506811373,20.223037091749525,5933.826826088199
GA-only,20yr_1440m_h1149,748,,,14.70564184198156,19.659948986606363,6103.779825764137
GA-only,30yr_0060m_h214,58,,,1.2755446741357446,21.99214955406456,5456.492540894974
GA-only,30yr_0120m_h335,88,,,1.9126779870130122,21.734977125147868,5521.054809906253
GA-only,30yr_0180m_h490,118,,,2.5254268529824913,21.401922482902467,5606.972929458342
GA-only,30yr_0240m_h619,148,,,3.149618640076369,21.281207027543033,5638.777906003685
GA-only,30yr_0360m_h687,208,,,4.502613442949951,21.647180014182457,5543.447225984184
GA-only,30yr_0540m_h753,298,,,6.353538791881874,21.320599972757968,5628.359434224551
GA-only,30yr_0720m_h988,388,,,8.25233737193048,21.268910752398146,5642.037873823396
GA-only,30yr_1080m_h1011,568,,,11.7646703440696,20.71244778885493,5793.617501093727
GA-only,30yr_1440m_h1148,748,,,15.24088085303083,20.375509161805923,5889.4233781868425
GA-only,50yr_0060m_h244,58,,,1.3629304829519242,23.49880143020559,5106.643432705075
GA-only,50yr_0120m_h326,88,,,1.9957588899414986,22.679078294789758,5291.220323868653
GA-only,50yr_0180m_h411,118,,,2.670659831026569,22.632710432428553,5302.060500365959
GA-only,50yr_0240m_h616,148,,,3.2622347990982234,22.042127020933943,5444.12070060358
GA-only,50yr_0360m_h678,208,,,4.410224515944719,21.203002480503457,5659.575812922823
GA-only,50yr_0540m_h777,298,,,6.171282022027299,20.70900007391711,5794.582045085772
GA-only,50yr_0720m_h940,388,,,7.881711571943015,20.313689618409832,5907.346339054366
GA-only,50yr_1080m_h1083,568,,,11.342558693839237,19.96929347506908,6009.226122587438
GA-only,50yr_1440m_h1145,748,,,14.814662114018574,19.80569801339382,6058.862450535634
GA-only,80yr_0060m_h246,58,,,1.2955878649372607,22.337721809263115,5372.078720679466
GA-only,80yr_0120m_h311,88,,,1.9613178591243923,22.287702944595367,5384.134932985513
GA-only,80yr_0180m_h396,118,,,2.5855968000832945,21.91183728884148,5476.49192617497
GA-only,80yr_0240m_h578,148,,,3.2166486501228064,21.734112500829774,5521.274447963707
GA-only,80yr_0360m_h677,208,,,4.53920126799494,21.823083019206443,5498.764766389254
GA-only,80yr_0540m_h850,298,,,6.601128250127658,22.151437080965298,5417.25575462171
GA-only,80yr_0720m_h952,388,,,8.400287867058069,21.65022646148987,5542.667196273852
GA-only,80yr_1080m_h1070,568,,,11.968176618916914,21.07073348400865,5695.103119740582
GA-only,80yr_1440m_h1188,748,,,15.68248598696664,20.965890356907273,5723.582350055821
PSO-only,10yr_0060m_h193,58,,,1.3125971499830484,22.630985344535315,5302.464659541494
PSO-only,10yr_0120m_h345,88,,,1.988591138040647,22.597626568643715,5310.292195310061
PSO-only,10yr_0180m_h385,118,,,2.603662929031998,22.064940076542353,5438.491996068198
PSO-only,10yr_0240m_h515,148,,,3.2213225290179253,21.765692763634632,5513.263524535817
PSO-only,10yr_0360m_h672,208,,,4.5011374892201275,21.640084082789073,5545.264960196672
PSO-only,10yr_0540m_h800,298,,,6.35060281609185,21.31074770500621,5630.961506423832
PSO-only,10yr_0720m_h912,388,,,8.157185748917982,21.023674610613355,5707.850897740805
PSO-only,10yr_1080m_h1061,568,,,11.924245106987655,20.99338927286559,5716.085118047261
PSO-only,10yr_1440m_h1176,748,,,15.606788147008047,20.864690036107014,5751.343527861481
PSO-only,100yr_0060m_h140,58,,,1.4009426289703697,24.15418325810982,4968.083528955993
