model,seed,episode,return_period_year,train_reward
Regular,3,144,50,31.438369
Regular,3,145,80,347.508379
Regular,3,146,10,98.433084
Regular,3,147,100,63.509147
Regular,3,148,100,47.257612
Regular,3,149,20,30.173065
Regular,3,150,80,75.095831
Regular,3,151,100,79.464284
Regular,3,152,50,31.817303
Regular,3,153,10,141.012280
Regular,3,154,20,73.886845
Regular,3,155,10,58.566239
Regular,3,156,10,138.584994
Regular,3,157,10,328.917165
Regular,3,158,30,102.023826
Regular,3,159,10,30.176766
GA-guided,3,0,50,345.229501
GA-guided,3,1,20,144.303604
GA-guided,3,2,80,76.249028
GA-guided,3,3,30,60.181316
GA-guided,3,4,20,29.344999
GA-guided,3,5,50,44.955734
GA-guided,3,6,10,45.834109
GA-guided,3,7,100,106.321119
GA-guided,3,8,100,144.902373
GA-guided,3,9,80,187.557408
GA-guided,3,10,20,59.951680
GA-guided,3,11,50,190.615768
GA-guided,3,12,30,144.501112
GA-guided,3,13,30,144.990669
GA-guided,3,14,10,30.312585
GA-guided,3,15,20,32.199339
GA-guided,3,16,80,74.242339
GA-guided,3,17,80,62.579434
GA-guided,3,18,50,147.905249
GA-guided,3,19,80,269.684533
GA-guided,3,20,80,355.051581
GA-guided,3,21,50,351.668654
GA-guided,3,22,50,360.290426
GA-guided,3,23,50,191.514134
GA-guided,3,24,80,64.215348
GA-guided,3,25,30,103.509902
GA-guided,3,26,20,271.824170
GA-guided,3,27,10,350.617394
GA-guided,3,28,50,352.038798
GA-guided,3,29,100,188.107734
GA-guided,3,30,80,191.624410
GA-guided,3,31,50,61.877322
GA-guided,3,32,30,145.351543
GA-guided,3,33,20,47.236370
GA-guided,3,34,100,190.849412
GA-guided,3,35,80,274.997887
GA-guided,3,36,20,74.938798
GA-guided,3,37,50,32.875643
GA-guided,3,38,100,80.044270
GA-guided,3,39,30,188.396863
GA-guided,3,40,80,62.728303
GA-guided,3,41,50,47.681007
GA-guided,3,42,20,268.747041
GA-guided,3,43,10,180.885485
GA-guided,3,44,20,102.629279
GA-guided,3,45,10,347.034089
GA-guided,3,46,10,148.488881
GA-guided,3,47,30,105.955948
GA-guided,3,48,10,266.786051
GA-guided,3,49,50,185.714342
GA-guided,3,50,100,64.902736
GA-guided,3,51,20,30.879687
GA-guided,3,52,80,61.308480
GA-guided,3,53,20,103.561207
GA-guided,3,54,80,78.743692
GA-guided,3,55,80,272.787569
GA-guided,3,56,100,146.861534
GA-guided,3,57,100,33.225005
GA-guided,3,58,30,46.818394
GA-guided,3,59,50,46.588818
GA-guided,3,60,80,76.379572
GA-guided,3,61,20,264.541267
GA-guided,3,62,30,149.604929
GA-guided,3,63,30,60.745797
GA-guided,3,64,80,354.546127
GA-guided,3,65,20,73.602831
GA-guided,3,66,50,149.409149
GA-guided,3,67,10,44.514007
GA-guided,3,68,30,77.000073
GA-guided,3,69,30,104.743516
GA-guided,3,70,50,191.136862
GA-guided,3,71,20,59.988675
GA-guided,3,72,50,147.931385
