model,seed,cum_reward
Regular,1,51.906360
Regular,1,34.304840
Regular,1,78.546110
Regular,1,379.114263
Regular,1,30.159448
Regular,1,377.722154
Regular,1,66.040949
Regular,1,285.554222
Regular,1,294.511902
Regular,1,45.923591
Regular,1,289.542105
Regular,1,52.163356
Regular,1,108.243665
Regular,1,82.546118
Regular,1,203.315742
Regular,1,201.344344
Regular,1,288.276199
Regular,1,288.051076
Regular,1,49.934693
Regular,1,109.070356
Regular,1,293.412845
Regular,1,291.654231
Regular,1,202.471275
Regular,1,294.421868
Regular,1,49.985938
Regular,1,159.861681
Regular,1,64.701898
Regular,1,50.149749
Regular,1,287.784530
Regular,1,82.502342
Regular,1,294.528205
Regular,1,49.212809
Regular,1,377.794169
Regular,1,293.346540
Regular,1,49.702170
Regular,1,67.053263
Regular,1,62.403655
Regular,1,50.434494
Regular,1,83.249937
Regular,1,32.042014
Regular,1,200.306440
Regular,1,378.636529
Regular,1,158.451117
Regular,1,62.088214
Regular,1,32.788470
Regular,1,31.785460
Regular,1,296.877097
Regular,1,158.307494
Regular,1,34.456536
Regular,1,83.395802
Regular,1,82.603623
Regular,1,110.609518
Regular,1,110.506279
Regular,1,154.276907
Regular,1,84.819511
Regular,1,66.559725
Regular,1,288.721305
Regular,1,292.638926
Regular,1,51.836201
Regular,1,33.693915
Regular,1,292.995295
Regular,1,50.719771
Regular,1,290.582892
Regular,1,204.491606
